schl_nr,buchseite,feld,wert_parser,wert_qwen,wert_mistral,status_parser,einig,korrektur,beleg,grund
00238,41,stadium_1_name,Frohnhauser Straße (tlw.),Frohnhauser Straße (tlw.),Frohnhauser Straße (tlw.),unsicher,keines,,,
00238,41,stadium_2_datum,1963-09-04,1963-09-04,1963-09-04,unsicher,keines,,,
00238,41,stadium_2_name,Am Richtenberg,Am Richtenberg,Am Richtenberg,unsicher,keines,,,
00137,45,lemma,Am Turm,Am Turm,Am Turm,unsicher,keines,,,Straßenklasse OCR-korrigiert
00137,45,stadtteile,Heidhausen,Heidhausen,Heidhausen,unsicher,keines,,,Straßenklasse OCR-korrigiert
00137,45,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse OCR-korrigiert
00137,45,namensgruppe,Lagebezeichnung,Lagebezeichnung,Lagebezeichnung,unsicher,keines,,,Straßenklasse OCR-korrigiert
00137,45,verweis_auf,,,,unsicher,keines,,,Straßenklasse OCR-korrigiert
00137,45,stadium_1_datum,1922-06-02,1922-06-02,1922-06-02,unsicher,keines,,,Straßenklasse OCR-korrigiert
00137,45,stadium_1_name,Am Turm,Am Turm,Am Turm,unsicher,keines,,,Straßenklasse OCR-korrigiert
00254,48,lemma,An den Quellen,An den Quellen,An den Quellen,unsicher,keines,,,Datum: Komma nach Tag
00254,48,stadtteile,Borbeck-Mitte,Borbeck-Mitte,Bordeck-Mitte,unsicher,eines,,,Datum: Komma nach Tag
00254,48,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Komma nach Tag
00254,48,namensgruppe,Gewässer,Gewässer,Gewässer,unsicher,keines,,,Datum: Komma nach Tag
00254,48,verweis_auf,,,,unsicher,keines,,,Datum: Komma nach Tag
00254,48,stadium_1_datum,1969-03-19,1969-03-19,1969-03-19,unsicher,keines,,,Datum: Komma nach Tag
00254,48,stadium_1_name,An den Quellen,An den Quellen,An den Quellen,unsicher,keines,,,Datum: Komma nach Tag
00155,49,lemma,An der Braut,An der Braut,An der Braut,unsicher,keines,,,
00155,49,stadtteile,Heidhausen,Heidhausen,Heidhausen,unsicher,keines,,,
00155,49,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,
00155,49,namensgruppe,Bergbau,Bergbau,Bergbau,unsicher,keines,,,
00155,49,verweis_auf,,,,unsicher,keines,,,
00155,49,stadium_1_datum,1929-07-29,1929-07-29,1929-07-29,unsicher,keines,,,
00155,49,stadium_1_name,An der Braut,An der Braut,An der Braut,unsicher,keines,,,
00199,56,lemma,Asthöwerstraße,Asthöwerstraße,,unsicher,eines,,,Namenskette unvollständig gelesen
00199,56,stadtteile,Holsterhausen,Holsterhausen,,unsicher,eines,,,Namenskette unvollständig gelesen
00199,56,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,,Namenskette unvollständig gelesen
00199,56,namensgruppe,"Person, Mann, Deutscher, Kruppscher Beamter, Stadtverordneter","Person, Mann, Deutscher, Kruppscher Beamter, Stadtverordneter",,unsicher,eines,,,Namenskette unvollständig gelesen
00199,56,verweis_auf,,,,unsicher,keines,,,Namenskette unvollständig gelesen
00199,56,stadium_1_datum,1957-01-23,1957-01-23,,unsicher,eines,,,Namenskette unvollständig gelesen
00199,56,stadium_1_name,Asthöwerstraße,Asthöwerstraße,,unsicher,eines,,,Namenskette unvollständig gelesen
00210,57,lemma,Auf der Bredde,Auf der Bredde,Auf der Bredde,unsicher,keines,,,Straßenklasse OCR-korrigiert
00210,57,stadtteile,Frillendorf,Frillendorf,Frillendorf,unsicher,keines,,,Straßenklasse OCR-korrigiert
00210,57,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse OCR-korrigiert
00210,57,namensgruppe,Flurname,Flurname,Flurname,unsicher,keines,,,Straßenklasse OCR-korrigiert
00210,57,verweis_auf,,,,unsicher,keines,,,Straßenklasse OCR-korrigiert
00210,57,stadium_1_datum,1921-08-01,1921-08-01,1921-08-01,unsicher,keines,,,Straßenklasse OCR-korrigiert
00210,57,stadium_1_name,Auf der Bredde,Auf der Bredde,Auf der Bredde,unsicher,keines,,,Straßenklasse OCR-korrigiert
03631,65,lemma,Beetstraße,Beetstraße,,unsicher,eines,,,Datum ohne Doppelpunkt
03631,65,stadtteile,Kettwig,Kettwig,,unsicher,eines,,,Datum ohne Doppelpunkt
03631,65,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,,Datum ohne Doppelpunkt
03631,65,namensgruppe,Flurname,Flurname,,unsicher,eines,,,Datum ohne Doppelpunkt
03631,65,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
03631,65,stadium_1_datum,vor 1880,vor 1880,,unsicher,eines,,,Datum ohne Doppelpunkt
03631,65,stadium_1_name,Beetstraße,Beetstraße,,unsicher,eines,,,Datum ohne Doppelpunkt
00471,66,lemma,Berghausbusch,Berghausbusch,Berghausbusch,unsicher,keines,,,Datum ohne Doppelpunkt
00471,66,stadtteile,Haarzopf,Haarzopf,Haarzopf,unsicher,keines,,,Datum ohne Doppelpunkt
00471,66,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
00471,66,namensgruppe,Familienname,Familienname,Familienname,unsicher,keines,,,Datum ohne Doppelpunkt
00471,66,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
00471,66,stadium_1_datum,1974-12-11,1974-12-11,vor 1898,unsicher,eines,,,Datum ohne Doppelpunkt
00471,66,stadium_1_name,Berghausbusch,Berghausbusch,Pützstraße,unsicher,eines,,,Datum ohne Doppelpunkt
00379,72,lemma,Bocholder Straße,Bocholder Straße,Bocholder Straße,unsicher,keines,,,urspr. ohne Doppelpunkt
00379,72,stadtteile,Bochold; Borbeck-Mitte,Bochold; Borbeck-Mitte,Bochold; Borbeck-Mitte,unsicher,keines,,,urspr. ohne Doppelpunkt
00379,72,strassenklasse,Landstraße,Landstraße,Landstraße,unsicher,keines,,,urspr. ohne Doppelpunkt
00379,72,namensgruppe,Bauerschaft,Bauerschaft,"Bauerschaft, urspr. Bocholder Landstraße",unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,verweis_auf,,,,unsicher,keines,,,urspr. ohne Doppelpunkt
00379,72,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",1891-04-30,unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,stadium_1_name,Bocholder Landstraße,Bocholder Landstraße,Hochstraße,unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,stadium_1_urspruenglich,wahr,wahr,falsch,unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,stadium_2_datum,1891-04-30,1891-04-30,1915-07-09,unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,stadium_2_name,Hochstraße,Hochstraße,Bocholder Straße,unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,stadium_3_datum,1915-07-09,1915-07-09,,unsicher,eines,,,urspr. ohne Doppelpunkt
00379,72,stadium_3_name,Bocholder Straße,Bocholder Straße,,unsicher,eines,,,urspr. ohne Doppelpunkt
00565,72,lemma,Bochumer Landstraße,Bochumer Landstraße,Bochumer Landstraße,unsicher,keines,,,Namenskette unvollständig gelesen
00565,72,stadtteile,Steele; Freisenbruch,Steele; Freisenbruch,Steele; Friesenbruch,unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,strassenklasse,Landstraße,Landstraße,Landstraße,unsicher,keines,,,Namenskette unvollständig gelesen
00565,72,namensgruppe,Lagebezeichnung,Lagebezeichnung,,unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,verweis_auf,,,,unsicher,keines,,,Namenskette unvollständig gelesen
00565,72,stadium_1_datum,1890,1890,1926-05-19,unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,stadium_1_name,Chausseestraße,Chausseestraße,Bochumer Straße (tlw.),unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,stadium_2_datum,1909,1909,1980-05-23,unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,stadium_2_name,Bahnhofstraße,Bahnhofstraße,Bochumer Landstraße,unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,stadium_3_datum,1926-05-19,1926-05-19,,unsicher,eines,,,Namenskette unvollständig gelesen
00565,72,stadium_3_name,Bochumer Straße (tlw.),Bochumer Straße (tlw.),,unsicher,eines,,,Namenskette unvollständig gelesen
00400,74,lemma,Borbecker Straße,Borbecker Straße,Borbecker Straße,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadtteile,Borbeck-Mitte; Bochold,Borbeck-Mitte; Bochold,Borbeck-Mitte; Bochold,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,strassenklasse,Hauptstraße; Gemeindestraße,Hauptstraße; Gemeindestraße,Hauptstraße; Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,namensgruppe,"Essener Geschichte und Örtlichkeit, Hofname","Essener Geschichte und Örtlichkeit, Hofname","Essener Geschichte und Örtlichkeit, Hofname",unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,verweis_auf,Borbecker Platz,Borbecker Platz,Borbecker Platz,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadium_1_datum,1891-04-30,1891-04-30,1891-04-30,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadium_1_name,Oberstraße (tlw.),Oberstraße (tlw.),Oberstraße (tlw.),unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadium_2_datum,1915-07-09,1915-07-09,1915-07-09,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadium_2_name,Borbecker Straße,Borbecker Straße,Borbecker Straße,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadium_3_datum,1977-11-11,1977-11-11,1977-11-11,unsicher,keines,,,Datum ohne Doppelpunkt
00400,74,stadium_3_name,Borbecker Straße (Verl.),Borbecker Straße (Verl.),Borbecker Straße (Verl.),unsicher,keines,,,Datum ohne Doppelpunkt
02515,74,lemma,Bonsiepen,Bonsiepen,,unsicher,eines,,,Monatsname OCR-korrigiert
02515,74,stadtteile,Bergerhausen,Bergerhausen,,unsicher,eines,,,Monatsname OCR-korrigiert
02515,74,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,,Monatsname OCR-korrigiert
02515,74,namensgruppe,Hofname,Hofname,,unsicher,eines,,,Monatsname OCR-korrigiert
02515,74,verweis_auf,,,,unsicher,keines,,,Monatsname OCR-korrigiert
02515,74,stadium_1_datum,1989-05-18,1989-05-18,,unsicher,eines,,,Monatsname OCR-korrigiert
02515,74,stadium_1_name,Bonsiepen,Bonsiepen,,unsicher,eines,,,Monatsname OCR-korrigiert
00423,78,lemma,Brassertstraße,Brassertstraße,Brassertstraße,unsicher,keines,,,Datum: Komma nach Tag
00423,78,stadtteile,Rüttenscheid,Rüttenscheid,Rüttenscheid,unsicher,keines,,,Datum: Komma nach Tag
00423,78,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum: Komma nach Tag
00423,78,namensgruppe,"Person, Mann, Deutscher, Jurist","Person, Mann, Deutscher, Jurist","Person, Mann, Deutscher, Jurist",unsicher,keines,,,Datum: Komma nach Tag
00423,78,verweis_auf,,,,unsicher,keines,,,Datum: Komma nach Tag
00423,78,stadium_1_datum,1897-09-06,1897-09-06,vor 1898,unsicher,eines,,,Datum: Komma nach Tag
00423,78,stadium_1_name,Clementinenstraße,Clementinenstraße,Pferdkamp,unsicher,eines,,,Datum: Komma nach Tag
00423,78,stadium_2_datum,1936-08-05,1936-08-05,1897-09-06,unsicher,eines,,,Datum: Komma nach Tag
00423,78,stadium_2_name,Brassertstraße,Brassertstraße,Clementinenstraße,unsicher,eines,,,Datum: Komma nach Tag
00608,92,lemma,Deilbachufer,Deilbachufer,Deilbachufer,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,stadtteile,Kupferdreh,Kupferdreh,Kupferdreh,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,namensgruppe,Lagebezeichnung,Lagebezeichnung,Lagebezeichnung,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,verweis_auf,,,,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,stadium_1_datum,1900-11-13,1900-11-13,1900-11-13,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,stadium_1_name,Uferstraße,Uferstraße,Uferstraße,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,stadium_2_datum,1934-06-05,1934-06-05,1934-06-05,unsicher,keines,,,Monatsname OCR-korrigiert
00608,92,stadium_2_name,Deilbachufer,Deilbachufer,Deilbachufer,unsicher,keines,,,Monatsname OCR-korrigiert
00623,94,lemma,Dickmannstraße,Dickmannstraße,Dickmannstraße,unsicher,keines,,,Datum ohne Doppelpunkt
00623,94,stadtteile,Altendorf; Westviertel,Altendorf; Westviertel,Altendorf; Westviertel,unsicher,keines,,,Datum ohne Doppelpunkt
00623,94,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Datum ohne Doppelpunkt
00623,94,namensgruppe,Hofname,Hofname,"Hofname, urspr.: Hasenkampstraße",unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,verweis_auf,,,,unsicher,keines,,,Datum ohne Doppelpunkt
00623,94,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",1902-05-16,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_1_name,Hasenkampstraße,Hasenkampstraße,Dickmannstraße,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_1_urspruenglich,wahr,wahr,falsch,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_2_datum,1902-05-16,1902-05-16,1937-11-20,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_2_name,Dickmannstraße,Dickmannstraße,Vesterstraße,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_3_datum,1902,1902,1970-12-16,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_3_name,Barkhofstraße,Barkhofstraße,Dickmannstraße,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_4_datum,1937-11-20,1937-11-20,,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_4_name,Vesterstraße,Vesterstraße,,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_5_datum,1970-12-16,1970-12-16,,unsicher,eines,,,Datum ohne Doppelpunkt
00623,94,stadium_5_name,Dickmannstraße (Verl.),Dickmannstraße (Verl.),,unsicher,eines,,,Datum ohne Doppelpunkt
00733,103,lemma,Eibergweg,Eibergweg,Eibergweg,unsicher,keines,,,Straßenklasse ohne Marker
00733,103,stadtteile,Freisenbruch,Freisenbruch,Freisenbruch,unsicher,keines,,,Straßenklasse ohne Marker
00733,103,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse ohne Marker
00733,103,namensgruppe,"Stadt und Ort, Hofname","Stadt und Ort, Hofname","Stadt und Ort, Hofname",unsicher,keines,,,Straßenklasse ohne Marker
00733,103,verweis_auf,,,,unsicher,keines,,,Straßenklasse ohne Marker
00733,103,stadium_1_datum,1919-04-01,1919-04-01,1919-04-01,unsicher,keines,,,Straßenklasse ohne Marker
00733,103,stadium_1_name,Eibergweg,Eibergweg,Eibergweg,unsicher,keines,,,Straßenklasse ohne Marker
00745,104,lemma,Einbleckstraße,Einbleckstraße,,unsicher,eines,,,Monatsname OCR-korrigiert
00745,104,stadtteile,Dellwig,Dellwig,,unsicher,eines,,,Monatsname OCR-korrigiert
00745,104,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,,Monatsname OCR-korrigiert
00745,104,namensgruppe,Flurname,Flurname,,unsicher,eines,,,Monatsname OCR-korrigiert
00745,104,verweis_auf,,,,unsicher,keines,,,Monatsname OCR-korrigiert
00745,104,stadium_1_datum,1895-11-28,1895-11-28,,unsicher,eines,,,Monatsname OCR-korrigiert
00745,104,stadium_1_name,Einbleckstraße,Einbleckstraße,,unsicher,eines,,,Monatsname OCR-korrigiert
00775,108,lemma,Emscherstraße,Emscherstraße,Emscherstraße,unsicher,keines,,,
00775,108,stadtteile,Altenessen-Nord; Katernberg,Altenessen-Nord; Katernberg,Altenessen-Nord; Katernberg,unsicher,keines,,,
00775,108,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,
00775,108,namensgruppe,Gewässer,Gewässer,Gewässer,unsicher,keines,,,
00775,108,verweis_auf,,,,unsicher,keines,,,
00775,108,stadium_1_datum,1895-09-17,1895-09-17,1895-09-17,unsicher,keines,,,
00775,108,stadium_1_name,Horster Straße,Horster Straße,Horster Straße,unsicher,keines,,,
00775,108,stadium_2_datum,1896-02-13,1896-02-13,"(urspr., kein Datum)",unsicher,eines,,,
00775,108,stadium_2_name,Emscherstraße,Emscherstraße,Emscherstraße,unsicher,keines,,,
00775,108,stadium_2_urspruenglich,falsch,falsch,wahr,unsicher,eines,,,
00775,108,stadium_3_datum,1933-11-27,1933-11-27,,unsicher,eines,,,
00775,108,stadium_3_name,Emscherstraße (Verl.),Emscherstraße (Verl.),,unsicher,eines,,,
00817,110,lemma,Eskenshof,Eskenshof,,unsicher,eines,,,Datum: Komma nach Tag
00817,110,stadtteile,Überruhr-Holthausen,Überruhr-Holthausen,,unsicher,eines,,,Datum: Komma nach Tag
00817,110,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,,Datum: Komma nach Tag
00817,110,namensgruppe,Hofname,Hofname,,unsicher,eines,,,Datum: Komma nach Tag
00817,110,verweis_auf,,,,unsicher,keines,,,Datum: Komma nach Tag
00817,110,stadium_1_datum,1973-06-13,1973-06-13,,unsicher,eines,,,Datum: Komma nach Tag
00817,110,stadium_1_name,Eskenshof,Eskenshof,,unsicher,eines,,,Datum: Komma nach Tag
00905,119,lemma,Freisenbruchstraße,Freisenbruchstraße,Freisenbruchstraße,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,stadtteile,Freisenbruch; Steele,Freisenbruch; Steele,Freisenbruch; Steele,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,namensgruppe,Hofname,Hofname,Hofname,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,verweis_auf,,,,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,stadium_1_datum,1919-04-01,1919-04-01,1919-04-01,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,stadium_1_name,Freisenbruchstraße,Freisenbruchstraße,Freisenbruchstraße,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,stadium_2_datum,1977-01-11,1977-01-11,1977-01-11,unsicher,keines,,,Straßenklasse ohne Marker
00905,119,stadium_2_name,Freisenbruchstraße (Verl.),Freisenbruchstraße (Verl.),Freisenbruchstraße (Verl.),unsicher,keines,,,Straßenklasse ohne Marker
00928,122,lemma,Fritzstraße,,Fritzstraße,unsicher,unlesbar,,,Namenskette unvollständig gelesen
00928,122,stadtteile,Altenessen-Nord,,Altenessen-Nord,unsicher,unlesbar,,,Namenskette unvollständig gelesen
00928,122,strassenklasse,Gemeindestraße,,Gemeindestraße,unsicher,unlesbar,,,Namenskette unvollständig gelesen
00928,122,namensgruppe,"Bergbau, Männlicher Vorname",,"Bergbau, Männlicher Vorname",unsicher,unlesbar,,,Namenskette unvollständig gelesen
00928,122,verweis_auf,,,,unsicher,unlesbar,,,Namenskette unvollständig gelesen
00928,122,stadium_1_datum,1896-02-13,,1896-02-13,unsicher,unlesbar,,,Namenskette unvollständig gelesen
00928,122,stadium_1_name,Fritzstraße,,Fritzstraße,unsicher,unlesbar,,,Namenskette unvollständig gelesen
00939,122,lemma,Fürstäbtissinstraße,,Fürstäbtissinstraße,unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,stadtteile,Borbeck-Mitte,,Borbeck-Mitte,unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,strassenklasse,Gemeindestraße,,Gemeindestraße,unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,namensgruppe,"Person, Frau, Deutsche, Äbtissin",,"Person, Frau, Deutsche, Äbtissin",unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,verweis_auf,,,,unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,stadium_1_datum,1896-10-08,,1896-10-08,unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,stadium_1_name,Rheinstraße (tlw.),,Rheinstraße (tlw.),unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,stadium_2_datum,1910-01-19,,1910-01-19,unsicher,unlesbar,,,Straßenklasse ohne Marker
00939,122,stadium_2_name,Fürstäbtissinstraße,,Fürstäbtissinstraße,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,lemma,Fürstenbergstraße,,Fürstenbergstraße,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,stadtteile,Borbeck-Mitte,,Borbeck-Mitte,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,strassenklasse,Gemeindestraße,,Gemeindestraße,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,namensgruppe,"Person, Mann, Deutscher, Reichsfreiherr, Adelstand",,"Person, Mann, Deutscher, Reichsfreiherr, Adelstand",unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,verweis_auf,,,,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,stadium_1_datum,1907-11-28,,28. November (nicht normalisierbar),unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,stadium_1_name,Maxstraße,,Fürstenbergstraße,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,stadium_2_datum,1915-07-09,,,unsicher,unlesbar,,,Straßenklasse ohne Marker
00940,122,stadium_2_name,Fürstenbergstraße,,,unsicher,unlesbar,,,Straßenklasse ohne Marker
00941,123,lemma,Fürstinstraße,Fürstinstraße,Fürstenbergstraße,unsicher,eines,,,Straßenklasse ohne Marker
00941,123,stadtteile,Steele,Steele,Steele,unsicher,keines,,,Straßenklasse ohne Marker
00941,123,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse ohne Marker
00941,123,namensgruppe,"Person, Frau, Deutsche, Prinzessin, Äbtissin","Person, Frau, Deutsche, Prinzessin, Äbtissin","Person, Frau, Deutsche, Prinzessin, Äbtissin",unsicher,keines,,,Straßenklasse ohne Marker
00941,123,verweis_auf,,,,unsicher,keines,,,Straßenklasse ohne Marker
00941,123,stadium_1_datum,1909-03-26,1909-03-26,1915-07-09,unsicher,eines,,,Straßenklasse ohne Marker
00941,123,stadium_1_name,Fürstinstraße,Fürstinstraße,Fürstenbergstraße,unsicher,eines,,,Straßenklasse ohne Marker
00942,123,lemma,Fuldastraße,Fuldastraße,Fuldastraße,unsicher,keines,,,Straßenklasse ohne Marker
00942,123,stadtteile,Bergerhausen,Bergerhausen,Bergerhausen,unsicher,keines,,,Straßenklasse ohne Marker
00942,123,strassenklasse,Gemeindestraße,Gemeindestraße,Gemeindestraße,unsicher,keines,,,Straßenklasse ohne Marker
00942,123,namensgruppe,Gewässer,Gewässer,Gewässer,unsicher,keines,,,Straßenklasse ohne Marker
00942,123,verweis_auf,,,,unsicher,keines,,,Straßenklasse ohne Marker
00942,123,stadium_1_datum,1911-04-21,1911-04-21,1911-04-21,unsicher,keines,,,Straßenklasse ohne Marker
00942,123,stadium_1_name,Fuldastraße,Fuldastraße,Fuldastraße,unsicher,keines,,,Straßenklasse ohne Marker
01011,126,lemma,Gerhard-Küchen-Straße,Gerhard-Küchen-Straße,Gerhard-Küchen-Straße,unsicher,keines,,,Datum ohne Doppelpunkt
