lemma,schl_nr,grund
Werdener Markt PP’ a Werderstraße,03353,Alphabet
Werner-Viebig-Weg,03355,Alphabet
ücke bis Heidhausen zurück zum Bahnhof” Wilhelm-Gefeller-Weg,00835,Alphabet
Wilhelm-Vogelsang-Weg,02048,Alphabet
208 ff Zeche Ernestine,03493,Alphabet
BET un 2 Zehntfeld,03496,Alphabet
Da Achternbergstraße - Haus Achternberg Achtermbergbredde,00004,nicht im amtlichen Verzeichnis
Ahnewinkelstraße - Hof Ahnewinkel Akademiestraße,03652,nicht im amtlichen Verzeichnis
a _ Alfred-Herrhausen-Brücke,01125,nicht im amtlichen Verzeichnis
Ehemaliger Alfrediplatz mit Alfredibrunnen Alfred-Neuse-Weg,03269,nicht im amtlichen Verzeichnis
Am Gerichtshaus - Gerichtshaus Byfang 1916 Am Gerichtshaus,00182,nicht im amtlichen Verzeichnis
Am Handelshof - Handelshof 1913 KEN U E Weein Am Handelshof,00085,nicht im amtlichen Verzeichnis
Am Kunstschacht,00822,nicht im amtlichen Verzeichnis
KERNE Met SENT BET pe rn ia Am Mühlengraben,03608,nicht im amtlichen Verzeichnis
PERRRFEERE PETER Am Muhrenberg,03609,nicht im amtlichen Verzeichnis
EEE EEE ER 4 4 bi Am Stadtwald,03611,nicht im amtlichen Verzeichnis
Am Treppehen,00136,nicht im amtlichen Verzeichnis
AmWasserturm,00268,nicht im amtlichen Verzeichnis
Ander Bergbrücke,00153,nicht im amtlichen Verzeichnis
I. ia Auf dem Sutan,00207,nicht im amtlichen Verzeichnis
Aufm Uhlenbroich,00235,nicht im amtlichen Verzeichnis
43 ff Bahnstraße,00278,nicht im amtlichen Verzeichnis
EBERLE u Bauerschaft,03629,nicht im amtlichen Verzeichnis
"[sie > °"" sr $ Bergheimer Steig",00331,nicht im amtlichen Verzeichnis
Ben RN RAN) gs das Birkmannsweg - Hof Birkmann Birkmannsweg,00366,nicht im amtlichen Verzeichnis
Breukeifeld,00444,nicht im amtlichen Verzeichnis
Brinkerplatz - Hof auf'm Brink um 1850 Brigittastraße,00447,nicht im amtlichen Verzeichnis
Burekhardtstraße,00493,nicht im amtlichen Verzeichnis
Burgplotz - 1864 Burggrafenstraße,00495,nicht im amtlichen Verzeichnis
Kruppsche Buschhauser Straße,00500,nicht im amtlichen Verzeichnis
Buschlandweg,00503,nicht im amtlichen Verzeichnis
olus-Magnus-Straße - Zeche Carolus Magnus 1926 Centrumstraße,00573,nicht im amtlichen Verzeichnis
min \] 71 Dahler Höhe,00594,nicht im amtlichen Verzeichnis
Zur ehemaligen Zeche Eintracht II. Dandermannsteg,00601,nicht im amtlichen Verzeichnis
Dellbrügge,00613,nicht im amtlichen Verzeichnis
Dellbrügge,00614,nicht im amtlichen Verzeichnis
Dellbrügge,00613,nicht im amtlichen Verzeichnis
Dellbrügge,00614,nicht im amtlichen Verzeichnis
Dortmannhof - 1970 Dorstener Straße,00653,nicht im amtlichen Verzeichnis
Pass Dreilindenstraße - Das Lindengut Dreiringplatz,00692,nicht im amtlichen Verzeichnis
BDudenstraße,00674,nicht im amtlichen Verzeichnis
Einigkeitsstraße,00746,nicht im amtlichen Verzeichnis
Stadtteilbibliothek 1930 Esternhovede,00803,nicht im amtlichen Verzeichnis
Fährenkotten - um 1935 Fährenkotten,00841,nicht im amtlichen Verzeichnis
Flakering - Ehemaliger Hof Flake 1970 Flakering,00866,nicht im amtlichen Verzeichnis
FlieBstraße,00873,nicht im amtlichen Verzeichnis
Franzenshöhe Frankenstraße,00888,nicht im amtlichen Verzeichnis
DEEP BE \ Kr Be [m Graffweg - um 1935 Graf-Bernadotte-Straße,01063,nicht im amtlichen Verzeichnis
Dezember 1830 Grieperstraße,01083,nicht im amtlichen Verzeichnis
telle führenden Straße den Namen „Güterstraße“ Gummertstraße,01109,nicht im amtlichen Verzeichnis
Hagen,01162,nicht im amtlichen Verzeichnis
Hagen,01163,nicht im amtlichen Verzeichnis
Hagen,01162,nicht im amtlichen Verzeichnis
Hagen,01163,nicht im amtlichen Verzeichnis
Hasselbeekweg,00535,nicht im amtlichen Verzeichnis
Hautkappenweg,01434,nicht im amtlichen Verzeichnis
De 3 Heckstraße - Hecktor Heckhülsenring,01225,nicht im amtlichen Verzeichnis
Helmholtz-Heiligenhauser Straße,03672,nicht im amtlichen Verzeichnis
25ff Hermannstraße,01282,nicht im amtlichen Verzeichnis
Auf'm Höltering) Hövelstraße,01334,nicht im amtlichen Verzeichnis
auch - entstellt - Hundsiepen (1826) Hunsrückstraße,01415,nicht im amtlichen Verzeichnis
lländerhöhe,01537,nicht im amtlichen Verzeichnis
lländerweg,01450,nicht im amtlichen Verzeichnis
Höfe und ihre Aufsitzer die Schreibweise mit „v“ Im Hülsfeld,01474,nicht im amtlichen Verzeichnis
PEREHERRANEEE Im Natt - Kotten im Natt 1970 Im Lindenstück,01483,nicht im amtlichen Verzeichnis
Inder Mergelskuhle,00716,nicht im amtlichen Verzeichnis
Karolienenstraße,01666,nicht im amtlichen Verzeichnis
60 ff Kastanienallee,01670,nicht im amtlichen Verzeichnis
Siehe Kastellplatz,01673,nicht im amtlichen Verzeichnis
ckuhl (wohl eine Verschreibung) und Kickuhlskuhle Kiekenberg,01702,nicht im amtlichen Verzeichnis
ern von der Heiligen Elisabeth zu Essen-(Schuir) Klarastraße,01718,nicht im amtlichen Verzeichnis
Kreuzeskirchstraße - Kreuzeskirche Kreulichweg,01554,nicht im amtlichen Verzeichnis
Kyffhäuserstaße,01854,nicht im amtlichen Verzeichnis
Te Laupendahler Höhe,03711,nicht im amtlichen Verzeichnis
Pa Lazarettstraße,01926,nicht im amtlichen Verzeichnis
Lilieneronstraße,01967,nicht im amtlichen Verzeichnis
ch - Hof Lutterbeck Luziusstroße - Luciuskirche Luziusstraße,02023,nicht im amtlichen Verzeichnis
Kruppsche Margrefstraße,02076,nicht im amtlichen Verzeichnis
Markt - Markt mit altem Rathaus Marienstraße,02080,nicht im amtlichen Verzeichnis
Neulengrund - Neulenhof Neuweselstraße,02245,nicht im amtlichen Verzeichnis
deutet also so viel wie „das Licht des Nordens“ Norderneyweg,02283,nicht im amtlichen Verzeichnis
e sowie Generaladjutant Kaiser Wilhelms I. Oberscheidtstraße,02318,nicht im amtlichen Verzeichnis
Opernptatz,01136,nicht im amtlichen Verzeichnis
"sagenhaft"" Ottenkämperweg",02343,nicht im amtlichen Verzeichnis
Phoenixhütte Pflanzstraße,02417,nicht im amtlichen Verzeichnis
Platz Werdener Feintuchwerke,01549,nicht im amtlichen Verzeichnis
Quellenbliek,02500,nicht im amtlichen Verzeichnis
Xh KIT gi ? f Er Roßkothen - Roßkothenhof um 1939 Rosestraße,02633,nicht im amtlichen Verzeichnis
Ruschenfeld,02668,nicht im amtlichen Verzeichnis
Ruschenfeld,02669,nicht im amtlichen Verzeichnis
Ruschenfeld,02668,nicht im amtlichen Verzeichnis
Ruschenfeld,02669,nicht im amtlichen Verzeichnis
Ill. Ruschenfeld,02670,nicht im amtlichen Verzeichnis
N) Saal,02710,nicht im amtlichen Verzeichnis
Schichtstraße,02760,nicht im amtlichen Verzeichnis
Schichtstraße,02761,nicht im amtlichen Verzeichnis
Schichtstraße,02760,nicht im amtlichen Verzeichnis
Schichtstraße,02761,nicht im amtlichen Verzeichnis
ne eh Schloßstraße - Wasserschloss Borbeck Schliemannstraße,03035,nicht im amtlichen Verzeichnis
a ı Schmettaustraße,02791,nicht im amtlichen Verzeichnis
Schmiedestaße,02793,nicht im amtlichen Verzeichnis
Schnieringstraße,02796,nicht im amtlichen Verzeichnis
Schockenhecke,02803,nicht im amtlichen Verzeichnis
Schockenhecke,02804,nicht im amtlichen Verzeichnis
Schockenhecke,02803,nicht im amtlichen Verzeichnis
Schockenhecke,02804,nicht im amtlichen Verzeichnis
19874 (Große Schopenhauerweg,02872,nicht im amtlichen Verzeichnis
SeidIstraße,02858,nicht im amtlichen Verzeichnis
In der Nähe der Arminiusgarten! Sigsfeldstraße,02874,nicht im amtlichen Verzeichnis
Steille Straße,02937,nicht im amtlichen Verzeichnis
& Steinmetzstraße,02948,nicht im amtlichen Verzeichnis
Stiege,02961,nicht im amtlichen Verzeichnis
Ill. Stiege,02962,nicht im amtlichen Verzeichnis
Terwestenweg,03106,nicht im amtlichen Verzeichnis
Ill. Terwestenweg,03107,nicht im amtlichen Verzeichnis
Tholstraße - Hof Thol Thusneldastraße,03071,nicht im amtlichen Verzeichnis
riahain - Ehemalige Zeche Victoria Mathias 1920 Victoriahain,02530,nicht im amtlichen Verzeichnis
i & KEN wre Vondernstraße - Haus Vondern Von-der-Tann-Straße,03240,nicht im amtlichen Verzeichnis
Wäaldlehne,03301,nicht im amtlichen Verzeichnis
Wendin“ Wangeroogeweg,03448,nicht im amtlichen Verzeichnis
1975 wurde Wattenscheid nach Bochum eingemeindet Weberplatz,03323,nicht im amtlichen Verzeichnis
Werdener Markt PP’ a Werderstraße,03353,nicht im amtlichen Verzeichnis
WiesenbergstraßBe,03388,nicht im amtlichen Verzeichnis
ücke bis Heidhausen zurück zum Bahnhof” Wilhelm-Gefeller-Weg,00835,nicht im amtlichen Verzeichnis
Windmühlenstaße,03408,nicht im amtlichen Verzeichnis
208 ff Zeche Ernestine,03493,nicht im amtlichen Verzeichnis
BET un 2 Zehntfeld,03496,nicht im amtlichen Verzeichnis
Zielstraße - Lyzeum Borbeck 1913 Zerresbuschweg,03500,nicht im amtlichen Verzeichnis
