schl_nr,buchseite,feld,wert_parser,wert_qwen,wert_mistral,status_parser,einig,korrektur,beleg
01827,211,stadium_1_name,Kruselbeck,Kruselbeek,Kruselbeek,automatisch,beide,,
02119,235,verweis_auf,Elsaßstraße,,,automatisch,beide,,
02273,248,verweis_auf,Elsaßstraße,,,automatisch,beide,,
02356,254,stadium_1_datum,1970-01-21,21. Januar (nicht normalisierbar),21. Januar (nicht normalisierbar),automatisch,beide,,
02393,256,namensgruppe,"Person, Mann, Deutscher, Bankdirektor, Beigeordneter",,,geprueft,beide,,
02402,263,verweis_auf,Porschekanzel und Am Porscheplatz,,,unsicher,beide,,
02425,260,namensgruppe,"Person, Mann, Deutscher, Hochschullehrer, Maler, Malerviertel-Holsterhausen","Person, Mann, Deutscher, Hochschullehrer, Maler, Malerviertel","Person, Mann, Deutscher, Hochschullehrer, Maler, Malerviertel",geprueft,beide,,
02441,263,verweis_auf,Porscheplatz und Am Porscheplatz,,,automatisch,beide,,
02454,264,lemma,Potthoffs Börde,Pothoffs Börde,Pothoffs Börde,automatisch,beide,,
02454,264,stadium_3_name,Potthofs Börde,Pothoffs Börde,Pothoffs Börde,automatisch,beide,,
02566,270,eintrag,,Rebenranke,Rebenranke,,beide,,
02568,270,stadium_1,1936-08-05 Rebenranke,1868-01-17 Hammerstraße,1868-01-17 Hammerstraße,unsicher,beide,,
02591,272,verweis_auf,Rheinischer Platz,,,automatisch,beide,,
02611,275,namensgruppe,"Person, Mann, Deutscher, Architekt, Prokurist, Kruppscher Beamter, Platz","Person, Mann, Deutscher, Architekt, Prokurist, Kruppscher","Person, Mann, Deutscher, Architekt, Prokurist, Kruppscher",automatisch,beide,,
02655,280,eintrag,,Rüttenscheider Platz,Rüttenscheider Platz,,beide,,
02681,273,namensgruppe,"Person, Mann, Deutscher, Unternehmer, Ballonfahrer","Person, Mann","Person, Mann",unsicher,beide,,
02756,288,stadium_2_name,Schemannsfeld,Schemmannsfeld,Schemmannsfeld,automatisch,beide,,
02906,306,eintrag,,Spichernstraße,Spichernstraße,,beide,,
02961,315,verweis_auf,,I. Stiege,I. Stiege,geprueft,beide,,
03009,293,lemma,Schmielfeld,Schmiefeld,Schmiefeld,automatisch,beide,,
03009,293,stadium_1_name,Schmielfeld,Schmiefeld,Schmiefeld,automatisch,beide,,
03014,310,namensgruppe,Familienname,,,geprueft,beide,,
03015,313,namensgruppe,Behandigungsgut,Behandlungsgut,Behandlungsgut,automatisch,beide,,
03151,328,stadium_1_datum,1912-01-26,26. Januar (nicht normalisierbar),26. Januar (nicht normalisierbar),automatisch,beide,,
03203,330,stadium_1,,"(urspr., kein Datum) Velberter Sträßchen","(urspr., kein Datum) Velberter Sträßchen",unsicher,beide,,
03417,351,stadium_1_datum,1897-11-29,29. November (nicht normalisierbar),29. November (nicht normalisierbar),automatisch,beide,,
03425,352,stadium_2_datum,1937-11-20,20. November (nicht normalisierbar),20. November (nicht normalisierbar),geprueft,beide,,
03444,339,namensgruppe,"Person, Mann, Deutscher, Stadtbaurat, Ingenieur",Person,Person,automatisch,beide,,
03696,186,stadium_1_name,Kaisersgasse,Kaisergasse,Kaisergasse,automatisch,beide,,
,46,eintrag,,Zu den Karmelitern,Am Waldhausenpark – Villa Waldhausen,,eines,,
00000,383,eintrag,,,,,eines,,
00000,383,stadium_1_datum,,,1857 – 1904 (nicht normalisierbar),,eines,,
00000,383,stadium_2_datum,,,1905 – 31.07.1929 (nicht normalisierbar),,eines,,
00000,383,stadium_3_datum,,,1813 – 1819 (nicht normalisierbar),,eines,,
00000,383,stadium_4_datum,,,1819 – 1851 (nicht normalisierbar),,eines,,
00000,383,stadium_5_datum,,,1851 – 1886 (nicht normalisierbar),,eines,,
00000,383,stadium_6_datum,,,1886 – 1896 (nicht normalisierbar),,eines,,
00000,383,stadium_7_datum,,,1896 – 1904 (nicht normalisierbar),,eines,,
00000,383,stadium_8_datum,,,1904 – 31.07.1929 (nicht normalisierbar),,eines,,
00001,23,lemma,Aachener Straße,Aachener Straße,Bürgermeister,automatisch,eines,,
00001,23,namensgruppe,Stadt und Ort,Stadt und Ort,,automatisch,eines,,
00001,23,stadium_1,vor 1898 Victoriastraße (tlw.),vor 1898 Victoriastraße (tlw.),vor 1898 Victoriastraße (tlw.),automatisch,eines,,
00001,23,stadium_1_datum,vor 1898,vor 1898,1920 – 1929 (nicht normalisierbar),automatisch,eines,,
00001,23,stadtteile,Frohnhausen,Frohnhausen,,automatisch,eines,,
00001,23,strassenklasse,Gemeindestraße,Gemeindestraße,,automatisch,eines,,
00002,23,lemma,Abteistraße,Abteistraße,Rellinghauser Straße,automatisch,eines,,
00002,23,namensgruppe,Lagebezeichnung,Lagebezeichnung,,automatisch,eines,,
00002,23,stadium_1,1959-02-18 Abteistraße,1959-02-18 Abteistraße,1959-02-18 Abteistraße,automatisch,eines,,
00002,23,stadium_1_datum,1959-02-18,1959-02-18,1876 – 1910 (nicht normalisierbar),automatisch,eines,,
00002,23,stadtteile,Werden,Werden,,automatisch,eines,,
00002,23,strassenklasse,Bundesstraße,Bundesstraße,,automatisch,eines,,
00003,23,lemma,Achenbachhang,Achenbachhang,Rüttenscheider Straße,automatisch,eines,,
00003,23,namensgruppe,"Person, Mann, Deutscher, Maler","Person, Mann, Deutscher, Maler",,automatisch,eines,,
00003,23,stadium_1,1902-05-16 Achenbachstraße,1902-05-16 Achenbachstraße,1902-05-16 Achenbachstraße,automatisch,eines,,
00003,23,stadium_1_datum,1902-05-16,1902-05-16,1900 – 1905 (nicht normalisierbar),automatisch,eines,,
00003,23,stadtteile,Holsterhausen,Holsterhausen,,automatisch,eines,,
00003,23,strassenklasse,Gemeindestraße,Gemeindestraße,,automatisch,eines,,
00004,23,lemma,Da Achternbergstraße - Haus Achternberg Achtermbergbredde,Achtermbergbredde,Steeler Straße,unsicher,eines,,
00004,23,namensgruppe,Flurname,Flurname,,unsicher,eines,,
00004,23,stadium_1,1921-09-26 Kreftenscheerstraße,1921-09-26 Kraftenscheerstraße,1921-09-26 Kreftenscheerstraße,unsicher,eines,,
00004,23,stadium_10,,,"(urspr., kein Datum) Theodor Märcker",unsicher,eines,,
00004,23,stadium_10_datum,,,1877 – 1880 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_11,,,"(urspr., kein Datum) Theodor Freiherr von Cloedt",unsicher,eines,,
00004,23,stadium_11_datum,,,1880 – 1881 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_12,,,"(urspr., kein Datum) Hugo Jesse",unsicher,eines,,
00004,23,stadium_12_datum,,,1882 – 1894 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_13,,,"(urspr., kein Datum) Aloys Carl Pietz",unsicher,eines,,
00004,23,stadium_13_datum,,,1894 – 1898 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_14,,,"(urspr., kein Datum) Theodor Heider",unsicher,eines,,
00004,23,stadium_14_datum,,,1899 – 1923 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_15,,,"(urspr., kein Datum) Wilhelm Farwick",unsicher,eines,,
00004,23,stadium_15_datum,,,1923 – 31.07.1929 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_1_datum,1921-09-26,1921-09-26,01.09.1808 – 28.06.1811 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_1_name,Kreftenscheerstraße,Kraftenscheerstraße,Kreftenscheerstraße,unsicher,eines,,
00004,23,stadium_2,1937-11-20 Achtermbergbredde,1937-11-20 Achtermbergbredde,"(urspr., kein Datum) Albert Friedrich Bach",unsicher,eines,,
00004,23,stadium_2_datum,1937-11-20,1937-11-20,1811 – 1813 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_3_datum,,,1814 – 1822 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_4,,,"(urspr., kein Datum) Maximilian Friedrich Freiherr von Vittinghoff gen. von Schell",unsicher,eines,,
00004,23,stadium_4_datum,,,1824 – 1834 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_5,,,"(urspr., kein Datum) Maximilian Friedrich Freiherr von Vittinghoff gen. von Schell",unsicher,eines,,
00004,23,stadium_5_datum,,,1834 – 1838 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_6,,,"(urspr., kein Datum) Christian Noot",unsicher,eines,,
00004,23,stadium_6_datum,,,1838 – 1844 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_7,,,"(urspr., kein Datum) Bertram Pfeiffer",unsicher,eines,,
00004,23,stadium_7_datum,,,1844 – 1851 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_8,,,"(urspr., kein Datum) Samuel Friedrich Biegon von Czudnochowski",unsicher,eines,,
00004,23,stadium_8_datum,,,1851 – 1863 (nicht normalisierbar),unsicher,eines,,
00004,23,stadium_9,,,"(urspr., kein Datum) Friedrich de Wolff",unsicher,eines,,
00004,23,stadium_9_datum,,,1863 – 1876 (nicht normalisierbar),unsicher,eines,,
00004,23,stadtteile,Kray,Kray,,unsicher,eines,,
00004,23,strassenklasse,Gemeindestraße,Gemeindestraße,,unsicher,eines,,
000061,32,eintrag,,,Am Bocklerbaum,,eines,,
00008,24,stadium_2,1897-01-22 Bornstraße,1897-01-22 Bornstraße,1915-07-09 Ackerstraße (Verl.),automatisch,eines,,
00009,24,namensgruppe,"Bergbau, Weiblicher Vorname","Bergbau, Weiblicher Vorname",Weiblicher Vorname,automatisch,eines,,
00009,24,stadtteile,Bergerhausen,Bergerhausen,Bergeborbeck,automatisch,eines,,
00010,24,namensgruppe,"Essener Geschichte und Örtlichkeit, Kotten","Essener Geschichte und Örtlichkeit, Kotten","Essener Geschichte und Örtlichkeit, Kotten, vor 1874: Adelkampstraße",unsicher,eines,,
00010,24,stadium_1,vor 1874 Adelkampstraße,vor 1874 Adelkampstraße,"(urspr., kein Datum) Adelkamp",unsicher,eines,,
000147,47,eintrag,,,Am Wittkop,,eines,,
000148,47,eintrag,,,Am Wünnesberg,,eines,,
00016,25,stadium_1_name,Knottenberg (tlw.),Knottenberg (tlw.),Knotenberg (tlw.),geprueft,eines,,
00016,25,stadium_3_name,Knottenbergstraße,Knottenbergstraße,Knotenbergstraße,geprueft,eines,,
00016,25,stadium_6_name,Am Knottenberg (tlw.),Am Knottenberg (tlw.),Am Knotenberg (tlw.),geprueft,eines,,
00017,25,stadtteile,Stadtwald; Bredeney,Stadtwald; Bredeneey,Stadtwald; Bredeney,automatisch,eines,,
00017,25,verweis_auf,An der Kluse,An der Kluse,,automatisch,eines,,
00019,25,lemma,Agnesstraße,Agnessstraße,Agnesstraße,automatisch,eines,,
00019,25,stadium_1_name,Agnesstraße,Agnessstraße,Agnesstraße,automatisch,eines,,
00020,25,stadium_1_name,Aastraße,Aastraße,Aastrraße,automatisch,eines,,
00022,25,stadium_1_name,Bergisch-Märkische Straße,Bergisch-Märkische Straße,Ahornstraße,automatisch,eines,,
00022,25,stadium_2_name,Ahornstraße,Ahornstraße,Bergisch-Märkische Straße,automatisch,eines,,
00025,26,lemma,Akazienallee,Akazienallee,Deichmannweg,geprueft,eines,,
00025,26,namensgruppe,Essener Geschichte und Örtlichkeit,Essener Geschichte und Örtlichkeit,Familienname,geprueft,eines,,
00025,26,stadium_1,1860 Akazienallee,1860 Akazienallee,1860 Akazienallee,geprueft,eines,,
00025,26,stadtteile,Stadtkern,Stadtkern,Schönebeck,geprueft,eines,,
00031,27,namensgruppe,"Person, Mann, Deutscher, Maler, Kupferstecher, Siegelschneider, Malerviertel-Holsterhausen","Person, Mann, Deutscher, Maler, Kupferstecher, Sieelschneider, Malerviertel-Holsterhausen","Person, Mann, Deutscher, Maler, Kupferstecher, Siegelschneider, Malerviertel-Holsterhausen, urspr.: Schachtstraße",automatisch,eines,,
00031,27,stadium_3,,,"(urspr., kein Datum) Heinrich Aldegrever (in seiner niederdeutschen Heimatsprache eigentlich Hinrik Trippenmäker)",automatisch,eines,,
00031,27,stadium_3_datum,,,*1502 in Paderborn (nicht normalisierbar),automatisch,eines,,
00031,27,stadium_4,,,"(urspr., kein Datum)",automatisch,eines,,
00031,27,stadium_4_datum,,,†um 1560 in Soest (nicht normalisierbar),automatisch,eines,,
00033,28,stadium_1_name,Alfredistraße (tlw.),Alfredistraße (tlw.),Alfredstraße (tlw.),automatisch,eines,,
00034,28,stadium_1_name,Alfredistraße,Alfredistraße,Alfredstraße,automatisch,eines,,
00035,28,stadium_1,1958-07-02 Alfred-Pott-Weg,1958-07-02 Alfred-Pott-Weg,1984-06-22 Alfred-Neuse-Weg,automatisch,eines,,
00035,28,stadtteile,Bredeney,Bredenei,Bredeney,automatisch,eines,,
00036,28,stadtteile,Rüttenscheid; Bredeney,Rüttenscheid; Bredenei,Rüttenscheid; Bredeney,geprueft,eines,,
00039,29,lemma,Alleestraße,Alleestraße,Am Kunstwerk,automatisch,eines,,
00039,29,namensgruppe,,Botanik,Bergbau,automatisch,eines,,
00039,29,stadium_1,1904-11-18 Alleestraße,1904-11-18 Alleestraße,1904-11-18 Alleestraße,automatisch,eines,,
00039,29,stadtteile,Freisenbruch,Freisenbruch,Bergerhausen,automatisch,eines,,
00040,29,stadium_1,1903-02-04 Idastraße,1903-02-04 Idastraße,1910-09-16 Allerstraße,automatisch,eines,,
00042,29,stadium_1,,1922-06-02 Aloisstraße,"(urspr., kein Datum) Heinrichstraße",unsicher,eines,,
00042,29,stadium_1_datum,,1922-06-02,Juni 1922 (nicht normalisierbar),unsicher,eines,,
00042,29,stadium_2,,,1922-06-02 Aloisstraße,unsicher,eines,,
00047,30,lemma,Altenau,Altenau,Am Funkturm,automatisch,eines,,
00047,30,namensgruppe,Flurname,Flurname,Lagebezeichnung,automatisch,eines,,
00047,30,stadium_1,1929-07-26 Altenau,1929-07-26 Altenau,1929-07-26 Altenau,automatisch,eines,,
00047,30,stadtteile,Margarethenhöhe,Margarethenhöhe,Holsterhausen,automatisch,eines,,
00049,30,stadium_2_name,Yorckstraße,Yorckstraße,Vorckstraße,automatisch,eines,,
00053,31,stadium_1,"(urspr., kein Datum) Viehofer Chausee","(urspr., kein Datum) Viehofer Chaussee",1908-08-07 Altenessener Straße,automatisch,eines,,
00053,31,stadium_1_name,Viehofer Chausee,Viehofer Chaussee,Altenessener Straße,automatisch,eines,,
00053,31,stadium_3,"(urspr., kein Datum) Essen-Horster-Straße","(urspr., kein Datum) Essen-Horster-Straße",,automatisch,eines,,
00057,31,stadium_1_datum,"(urspr., kein Datum)","(urspr., kein Datum)",1914-10-09,automatisch,eines,,
00057,31,stadium_2,1914-10-09 Alfredspark,1914-10-09 Alfredspark,1959-12-11 Am Alfredspark,automatisch,eines,,
00058,27,stadium_2,,,"(urspr., kein Datum) Albert Schweitzer",automatisch,eines,,
00058,27,stadium_2_datum,,,14. Januar 1875 in Kaysersberg im Oberelsass bei Colmar (nicht normalisierbar),automatisch,eines,,
00058,27,stadium_3,,,"(urspr., kein Datum)",automatisch,eines,,
00058,27,stadium_3_datum,,,"†04. September 1965 in Lambaréné, Gabun (nicht normalisierbar)",automatisch,eines,,
000580,155,eintrag,,,Hemsingskotten,,eines,,
00059,31,verweis_auf,Ardeyplatz,Ardeyplatz,,automatisch,eines,,
00061,32,eintrag,Am Bocklerbaum,Am Bocklerbaum,,automatisch,eines,,
00062,32,namensgruppe,"Flurname, Kotten, Familienname","Flurname, Kotten, Familiennname","Flurname, Kotten, Familienname, urspr.: Bosselstraße",automatisch,eines,,
00062,32,stadium_1,"(urspr., kein Datum) Bosselstraße","(urspr., kein Datum) Bosselstraße",vor 1925 Am Bonnenberg,automatisch,eines,,
00062,32,verweis_auf,Bonnenbergstraße,Bonnenbergstraße,,automatisch,eines,,
00064,32,stadtteile,Bredeney,Bredenev,Bredeney,automatisch,eines,,
00065,32,namensgruppe,Lagebezeichnung,Lagebezeichnung,"Lagebezeichnung, 22. Januar 1897",automatisch,eines,,
00065,32,stadium_1,1897-01-22 Gertrudstraße,1897-01-22 Gertrudstraße,1915-07-09 Am Brauhaus,automatisch,eines,,
00066,32,eintrag,Am Broch,Am Broch,,automatisch,eines,,
00067,32,lemma,Am Brönngen,Am Brönngen,Bargmannstraße,automatisch,eines,,
00067,32,namensgruppe,Flurname,Flurname,"Person, Mann, Deutscher, Politiker, Beigeordneter",automatisch,eines,,
00067,32,stadium_1,1941-05-14 Am Brönngen,1941-05-14 Am Brönngen,1941-05-14 Am Brönnchen,automatisch,eines,,
00067,32,stadium_1_name,Am Brönngen,Am Brönngen,Am Brönnchen,automatisch,eines,,
00067,32,stadtteile,Haarzopf,Haarzopf,Westviertel,automatisch,eines,,
00069,33,stadium_1,1909-01-07 Am Brunnen,1909-01-07 Am Brunnen,1927-08-09 Bottroper Straße (tlw.),automatisch,eines,,
00069,33,stadium_2,,,1909-01-07 Am Brunnen,automatisch,eines,,
00069,33,stadtteile,Bredeney,Bredeneey,Bredeney,automatisch,eines,,
00070,33,lemma,Am Buschgarten,Am Buschgarten,Am Fichtenbusch,automatisch,eines,,
00070,33,namensgruppe,Flurname,Flurname,"Botanik, Wald",automatisch,eines,,
00070,33,stadium_1,1926 Am Buschgarten,1926 Am Buschgarten,1926 Am Buschgarten,automatisch,eines,,
00070,33,stadtteile,Steele,Steele,Haarzopf,automatisch,eines,,
00071,33,lemma,Am Deimelsberg,Am Deimelsberg,Erlenkampsweg,automatisch,eines,,
00071,33,namensgruppe,"Flurname, Hofname","Flurname, Hofname",Flurname,automatisch,eines,,
00071,33,stadium_1,1890-11-18 Am Deimelsberg,1890-11-18 Am Deimelsberg,1890-11-18 Am Deimelsberg,automatisch,eines,,
00071,33,stadium_2,,,1981-04-03 Daniel-Eckhardt-Straße,automatisch,eines,,
00071,33,stadium_3,,,2005-12-20 Eichholzhof,automatisch,eines,,
00071,33,stadium_4,,,1904-02-04 Winkelstraße,automatisch,eines,,
00071,33,stadtteile,Steele,Steele,Stoppenberg,automatisch,eines,,
000715,155,eintrag,,,Helmut-Werner-Weg,,eines,,
00072,33,lemma,Am Dönhof,Am Dönhof,Ernastraße,automatisch,eines,,
00072,33,namensgruppe,Hofname,Hofname,Weiblicher Vorname,automatisch,eines,,
00072,33,stadium_1,1913-05-30 Eyhof,1913-05-30 Eyhof,1913-05-30 Am Dönhof,automatisch,eines,,
00072,33,stadium_1_name,Eyhof,Eyhof,Am Dönhof,automatisch,eines,,
00072,33,stadium_2,1931-12-11 Am Dönhof,1931-12-11 Am Dönhof,1897-09-06 Elisenstraße,automatisch,eines,,
00072,33,stadtteile,Stadtwald,Stadtwald,Rüttenscheid,automatisch,eines,,
00073,110,eintrag,,,Ernestinenstraße,,eines,,
00074,33,lemma,Am Ehrenfriedhof,Am Ehrenfriedhof,Ernststraße,automatisch,eines,,
00074,33,namensgruppe,Ruhestätte,Ruhestätte,"Person, Mann, Deutscher, Landwirt, Männlicher Vorname",automatisch,eines,,
00074,33,stadium_1,1935-09-30 Lührmannstraße (tlw.),1935-09-30 Lührmannstraße (tlw.),1935-09-30 Lührmannstraße (tlw.),automatisch,eines,,
00074,33,stadium_2,1957-07-15 Am Ehrenfriedhof,1957-07-15 Am Ehrenfriedhof,1897-09-06 Ernstraße,automatisch,eines,,
00074,33,stadtteile,Fulerum,Fulerum,Kray,automatisch,eines,,
000740,104,eintrag,,,Eiergasse,,eines,,
000741,104,eintrag,,,Eigene Scholle,,eines,,
000742,104,eintrag,,,Eigene Tat,,eines,,
000743,104,eintrag,,,Eigenstraße,,eines,,
000744,104,eintrag,,,Eiland,,eines,,
000745,104,eintrag,,,Einbleckstraße,,eines,,
000746,104,eintrag,,,Einigkeitsstraße,,eines,,
00076,33,lemma,Am Elsenbusch,Am Elsenbusch,Eickelbecktal,automatisch,eines,,
00076,33,namensgruppe,"Person, Mann, Deutscher, Schreiner","Person, Mann, Deutscher, Schreiner",Gewässer,automatisch,eines,,
00076,33,stadium_1,1908-07-10 Elsenstraße,1908-07-10 Elsenstraße,1908-07-10 Elsenstraße,automatisch,eines,,
00076,33,stadium_2,1915-07-09 Am Elsenbusch,1915-07-09 Am Elsenbusch,1936-08-05 Rollländchen,automatisch,eines,,
00076,33,stadtteile,Vogelheim,Vogelheim,Kupferdreh,automatisch,eines,,
00077,34,lemma,Am Freistein,Am Freistein,Eickelkamp,unsicher,eines,,
00077,34,namensgruppe,Lagebezeichnung,Lagebezeichnung,Flurname,unsicher,eines,,
00077,34,stadium_1,1868-01-17 Am Freistein,1868-01-17 Am Freistein,1868-01-17 Am Freistein,unsicher,eines,,
00077,34,stadium_2,1892-03-29 Feldstraße,1892-03-29 Feldstraße,1890-11-18 Elisenstraße,unsicher,eines,,
00077,34,stadtteile,Nordviertel,Nordviertel,Steele,unsicher,eines,,
00078,104,eintrag,,Am Frommen Joseph,Eickenscheider Fuhr,,eines,,
00079,34,lemma,Am Gehölz,Am Gehölz,Eickwinkelstraße,automatisch,eines,,
00079,34,namensgruppe,Botanik,Botanik,Hofname,automatisch,eines,,
00079,34,stadium_1,1914-10-09 Am Gehölz,1914-10-09 Am Gehölz,1914-10-09 Am Gehölz,automatisch,eines,,
00079,34,stadium_2,,,1903-11-27 Grabenstraße,automatisch,eines,,
00079,34,stadtteile,Margarethenhöhe,Margarethenhöhe,Altenessen-Nord,automatisch,eines,,
000795,110,eintrag,,,Erntedankweg,,eines,,
000797,110,eintrag,,,Eschenburg,,eines,,
000798,110,eintrag,,,Eschenstraße,,eines,,
000809,104,eintrag,,,Eifelhang,,eines,,
00081,35,namensgruppe,Essener Geschichte und Örtlichkeit,Essener Geschichte und Örtlichkeit,"Lagebezeichnung, Str.-Gr.: Flurname",automatisch,eines,,
00081,35,stadium_2_name,Kurzestraße,Kurzestraße,Kürzestraße,automatisch,eines,,
00081,35,stadtteile,Rellinghausen; Stadtwald,Rellinghausen; Stadtwald,Rellinghausen,automatisch,eines,,
000810,110,eintrag,,,Ernst-Tengelmann-Ring,,eines,,
000816,110,eintrag,,,Eskensfeld,,eines,,
000817,110,eintrag,,,Eskenshof,,eines,,
000819,110,eintrag,,,Ernst-Barlach-Straße,,eines,,
000822,39,eintrag,,,Am Kunstschacht,,eines,,
000833,32,eintrag,,,Am Blambeckpark,,eines,,
00090,36,stadtteile,Bredeney; Werden,Bredenei; Werden,Bredeney; Werden,automatisch,eines,,
00092,37,stadium_2,,,"(urspr., kein Datum) Hinsberg",automatisch,eines,,
00092,37,stadtteile,Bredeney,Bredenei,Bredeney,automatisch,eines,,
00094,48,eintrag,Amixstraße,Amixstraße,,automatisch,eines,,
00096,37,namensgruppe,Flurname,Flurname,"Flurname, urspr.: Bergstraße",automatisch,eines,,
00096,37,stadium_1,"(urspr., kein Datum) Bergstraße","(urspr., kein Datum) Bergstraße",1929-07-12 Am Kalverkämpchen,automatisch,eines,,
000962,110,eintrag,,,Ernst-Schmidt-Platz,,eines,,
00098,38,eintrag,Am Kohlenkämpchen,Am Kohlenkämpchen,,automatisch,eines,,
00098,38,stadtteile,Bredeney,Bredenei,,automatisch,eines,,
00099,38,eintrag,Am Korintenberg,Am Korinthenberg,,automatisch,eines,,
00099,38,lemma,Am Korintenberg,Am Korinthenberg,,automatisch,eines,,
00099,38,stadium_3_name,Am Korintenberg,Am Korinthenberg,,automatisch,eines,,
00099,38,stadtteile,Bredeney; Werden,Bredenei; Werden,,automatisch,eines,,
00102,38,lemma,Am Krausen Bäumchen,Am Krausen Bäumchen,Am krausen Bäumchen,automatisch,eines,,
00102,38,namensgruppe,Flurname,Flurname,"Flurname, urspr.: Josefstraße",automatisch,eines,,
00102,38,stadium_2_datum,1903-02-04,1903-02-04,1903-09-16,automatisch,eines,,
00102,38,stadium_2_name,Hovescheidtstraße ftlw.),Hovescheidtstraße (tlw.),Am krausen Bäumchen (tlw.),automatisch,eines,,
00102,38,stadium_3_datum,1910-09-16,1910-09-16,1957-07-15,automatisch,eines,,
00102,38,stadium_3_name,Am krausen Bäumchen (Verl.),Am krausen Bäumchen (Verl.),Am krausen Bäumchen,automatisch,eines,,
00102,38,stadium_4,1957-07-15 Am Krausen Bäumchen,1957-07-15 Am Krausen Bäumchen,,automatisch,eines,,
00104,39,namensgruppe,"Flurname, Familienname","Flurname, Familienname",Flurname,automatisch,eines,,
00104,39,stadtteile,Überruhr-Holthausen,Überruhr-Holthausen,Überruhr-Holtausen,automatisch,eines,,
00105,39,stadium_1,"(urspr., kein Datum) Baumstraße","(urspr., kein Datum) Baumstraße",1937-11-20 Am Krusen,automatisch,eines,,
00106,39,namensgruppe,"Flurname, Familienname","Flurname, Familienname",Flurname,automatisch,eines,,
00107,39,stadium_1_name,Lilienstraße,Lilienstraße,Am Lehmberg,automatisch,eines,,
