schl_nr,stadium,gueltig_ab,datum_praezision,name,ist_urspruenglich
00001,1,1898,vor,Victoriastraße (tlw.),falsch
00001,2,1902-05-16,tag,Aachener Straße,falsch
00001,3,1909-03-05,tag,Aachener Straße (Verl.),falsch
00002,1,1959-02-18,tag,Abteistraße,falsch
00003,1,1902-05-16,tag,Achenbachstraße,falsch
00003,2,1922-09-13,tag,Achenbachhang,falsch
00004,1,1921-09-26,tag,Kreftenscheerstraße,falsch
00004,2,1937-11-20,tag,Achtermbergbredde,falsch
00005,1,1896-11-01,tag,Achternbergstraße,falsch
00005,2,1931-12-11,tag,Achtermbergstraße (Umb.),falsch
00005,3,1968-11-21,tag,Achternbergstraße (Umb.),falsch
00006,1,1937-11-20,tag,Achthausen,falsch
00007,1,1955-01-19,tag,Achtmorgenfeld,falsch
00008,1,1895-11-28,tag,Ackerstraße,falsch
00008,2,1897-01-22,tag,Bornstraße,falsch
00008,3,1915-07-09,tag,Ackerstraße (Verl),falsch
00009,1,1903-02-04,tag,Ludwigstraße,falsch
00009,2,1937-11-20,tag,Adelgundenweg,falsch
00009,3,1959-09-08,tag,Adelgundenweg (Verl.),falsch
00010,1,1874,vor,Adelkampstraße,falsch
03566,1,1925-03-24,tag,Adlerstraße,falsch
03566,2,1976-12-14,tag,Adierstraße,falsch
00012,1,1889-07-05,tag,Am Stadtgarten,falsch
00012,2,1933-05-08,tag,Admiral-Scheer-Straße,falsch
03556,1,1971-09-22,tag,Adolf-Hopmann-Straße,falsch
00013,1,1929-01-10,tag,Adolf- Rath-Straße,falsch
00014,1,1914-10-09,tag,Adolf-Schmidt-Straße,falsch
00015,1,1897-09-06,tag,Adolfstraße,falsch
00016,1,1890-11-18,tag,Knottenberg (tIw),falsch
00016,2,1890-11-18,tag,Eickenscheider Weg (tlw.),falsch
00016,3,1894-05-09,tag,Knottenbergstraße,falsch
00016,4,1905,jahr,Moitkestraße (tlw.),falsch
00016,5,1909-03-26,tag,Stoppenberger Straße,falsch
00016,6,1929-12-12,tag,Am Knottenberg (tlw.),falsch
00016,7,1937-11-20,tag,Äbtissinsteig,falsch
00017,1,1904-02-04,tag,Ägidiusstraße,falsch
00018,1,1957-12-12,tag,Agirstraße,falsch
00019,1,1909-11-26,tag,Agnesstraße,falsch
00020,1,1890-11-18,tag,Aastraße,falsch
00020,2,1937-11-20,tag,Ahestraße,falsch
00021,1,1903,vor,Heinrichstraße,falsch
00021,2,1903-03-12,tag,Ahnewinkelstraße,falsch
00021,3,1903-03-12,tag,Ahnewinkelstraße (Verl),falsch
00021,4,1922,vor,Friedhofsweg (Umb.),falsch
00021,5,1934-01-12,tag,Ahnewinkelstraße (Verl),falsch
00022,1,1904-02-04,tag,Bergisch-Märkische Straße,falsch
00022,2,1910-09-16,tag,Ahornstraße,falsch
00023,1,1935-06-03,tag,Ahornzweig,falsch
00024,1,1910-09-16,tag,Ahrfeldstraße,falsch
00029,1,1963-12-17,tag,Aisthang,falsch
03652,1,1937,jahr,Fichtestraße,falsch
03652,2,1978-04-07,tag,Akademiestraße,falsch
00025,1,1860,jahr,Akazienaltee,falsch
00026,1,1948-12-14,tag,Akstraße,falsch
00027,1,1896-08-14,tag,Aktienstraße,falsch
00028,1,1915-07-06,tag,Albermannstraße,falsch
02536,1,1993-11-09,tag,Albertine-Badenberg-Weg,falsch
01129,1,1995-11-28,tag,Albert-Schmidt- Weg,falsch
00058,1,1966-12-14,tag,Albert-Schweitzer-Straße,falsch
00030,1,1897-09-06,tag,Albrechtstraße,falsch
00031,1,,unbekannt,Schachtstraße,wahr
00031,2,1902-05-16,tag,Aldegreverstraße,falsch
00243,1,1965-01-21,tag,Aldenhofweg,falsch
00032,1,1897-09-06,tag,Alexanderstraße,falsch
01125,1,1965-02-17,tag,Waldthausenbrücke,falsch
01125,2,1994-08-17,tag,Alfred- Herrhausen-Brücke,falsch
00033,1,1868-01-17,tag,Alfredistraße (tiw.),falsch
00033,2,1940-06-10,tag,Alfrediquelle,falsch
00034,1,1868-01-17,tag,Alfredistraße,falsch
03269,1,1984-06-22,tag,Alfred-Neuse-Weg,falsch
00035,1,1958-07-02,tag,Alfred- Pott-Weg,falsch
00036,1,1897-09-06,tag,Alfredstraße,falsch
00530,1,1978-12-21,tag,Alfried-Krupp-Straße,falsch
00037,1,1922-06-02,tag,Hermannstraße,falsch
00037,2,1937-11-20,tag,Alinenhöhe,falsch
00038,1,1920-10-01,tag,Allbauweg,falsch
00039,1,1904-11-18,tag,Alleestraße,falsch
00040,1,1903-02-04,tag,Idastraße,falsch
00040,2,1910-09-16,tag,Allerstraße,falsch
00040,3,1937-11-20,tag,Weserstraße,falsch
00040,4,1945-05-15,tag,Allerstraße,falsch
00041,1,1897-09-06,tag,Amalienstraße,falsch
00041,2,1906-01-26,tag,Almastraße,falsch
00043,1,1938-10-21,tag,Alsenplatz,falsch
00569,1,1927-08-09,tag,Bottroper Straße (tlw.),falsch
00569,2,1980-08-20,tag,Alte Bottroper Straße,falsch
00044,1,1936-01-15,tag,Alte Eichen,falsch
00253,1,1911-11-21,tag,Haarzopfer Straße,falsch
00253,2,1915-07-09,tag,Hatzper Straße (tIw.),falsch
00253,3,1968-09-18,tag,Alte Hatzper Straße,falsch
01428,1,1911-06-16,tag,Hauptstraße,falsch
01428,2,1978-11-23,tag,Alte Hauptstraße,falsch
00045,1,1892-03-29,tag,Kirchstraße (tlw.),falsch
00045,2,1904-03-21,tag,Alte Kirchstraße,falsch
00045,3,1955-01-19,tag,Alte Kirchstraße (Verl.),falsch
00045,4,1995-09-20,tag,Alte Kirchstraße (Verl.),falsch
00046,1,1903-03-12,tag,Alte Landstraße,falsch
00252,1,1911-11-21,tag,Raadter Straße (tiw.),falsch
00252,2,1968-11-21,tag,Alte Raadter Straße,falsch
00054,1,1890-11-18,tag,Königstraße,falsch
00054,2,1908-02-27,tag,Königstraße (Verl.),falsch
00054,3,1937-11-20,tag,Alte Zeilen,falsch
00047,1,1929-07-26,tag,Altenau,falsch
00048,1,1953-03-03,tag,Altenbergmühle,falsch
00049,1,1895-01-04,tag,Altenbergstraße,falsch
00049,2,1898-03-11,tag,Yorckstraße,falsch
00049,3,1931-12-11,tag,Altenbergstraße (Verl.),falsch
00050,1,1883,jahr,Limbecker Chaussee,falsch
00050,2,1901-12-04,tag,Altendorfer Straße,falsch
00050,3,1933-05-08,tag,Thomaestraße (tiw,falsch
00050,4,1945-05-15,tag,Altendorfer Straße (tw,falsch
00050,5,1946-03-27,tag,Ernst-Thälmann-Straße (Umb.),falsch
00050,6,1950-10-19,tag,Altendorfer Straße (Verl),falsch
00051,1,1898,vor,Rathausplatz,falsch
00051,2,1902-05-16,tag,Altendorfplatz,falsch
00052,1,1922-09-13,tag,Langenhorster Platz,falsch
00052,2,1936-01-15,tag,Altenessener Markt,falsch
00053,1,,unbekannt,Viehofer Chausee,wahr
00053,2,1908-08-07,tag,Altenessener Straße,falsch
00053,3,,unbekannt,Essen-Horster- Straße,wahr
00053,4,1915-07-09,tag,Altenessener Straße (Verl.),falsch
00055,1,1954-02-23,tag,Altmeyerstraße,falsch
00056,1,1896-08-14,tag,Altstraße,falsch
01608,1,2001-07-10,tag,Aluminiumallee,falsch
00057,1,,unbekannt,Alfredshof (tlw.),wahr
00057,2,1914-10-09,tag,Alfredspark,falsch
00057,3,1959-12-11,tag,Am Alfredspark,falsch
01134,1,1996-01-30,tag,Am Alfredusbad,falsch
00059,1,1903-02-04,tag,Obere Marktstraße,falsch
00059,2,1903-02-04,tag,Untere Marktstraße,falsch
00059,3,1910-09-16,tag,Am Ardey,falsch
01555,1,2000-03-14,tag,Am Bahnhof Altenessen,falsch
00060,1,1904-05-27,tag,Am Bernewäldchen,falsch
01550,1,1999-08-03,tag,Am Bienenstock,falsch
03601,1,1924,jahr,Am Bilstein,falsch
03601,2,1897-11-04,tag,Lehmdreh,falsch
03601,3,1925-06-16,tag,Hochstraße (tiw.),falsch
03601,4,1978-04-07,tag,Am Bilstein (Verl.),falsch
03601,5,1950-12-11,tag,Waldsaum,falsch
03601,6,1978-04-07,tag,Am Bilstein (Verl.),falsch
00833,1,2008-02-26,tag,Am Blambeckpark,falsch
00061,1,1929-07-12,tag,Am Bocklerbaum,falsch
00061,2,1929-07-12,tag,Kiwittstraße,falsch
00061,3,1937-11-20,tag,Am Bocklerbuam (Verl.),falsch
03602,1,1927-10-25,tag,Am Bögelsknappen,falsch
00062,1,,unbekannt,Bosselstraße,wahr
00062,2,1925,vor,Am Bonnenberg,falsch
00063,1,1920-10-01,tag,Am Brachland,falsch
00064,1,1927-12-01,tag,Am Brandenbusch,falsch
00065,1,1897-01-22,tag,Gertrudstraße,falsch
00065,2,1915-07-09,tag,Am Brauhaus,falsch
00066,1,1953-03-03,tag,Am Broch,falsch
00067,1,1941-05-14,tag,Am Brönngen,falsch
01614,1,2002-09-10,tag,Am Bruchweiher,falsch
00068,1,1911-04-21,tag,Am Brückenkopf,falsch
00069,1,1909-01-07,tag,Am Brunnen,falsch
00112,1,1964-05-20,tag,Am Buchenhain,falsch
00070,1,1926,jahr,Am Buschgarten,falsch
00071,1,1890-11-18,tag,Am Deimelsberg,falsch
00072,1,1913-05-30,tag,Eyhof,falsch
00072,2,1931-12-11,tag,Am Dönhof,falsch
01543,1,2000-05-09,tag,Am Dolmen,falsch
00074,1,1935-09-30,tag,Lührmannstraße (tlw.),falsch
00074,2,1957-07-15,tag,Am Ehrenfriedhof,falsch
00164,1,1963-03-20,tag,Am Ehrenmal,falsch
00075,1,1891-04-30,tag,Kreuzstraße (tlw.),falsch
00075,2,1915-07-09,tag,Am Ellenbogen,falsch
00076,1,1908-07-10,tag,Elsenstraße,falsch
00076,2,1915-07-09,tag,Am Elsenbusch,falsch
01871,1,2012-07-17,tag,Am EUROPA-CENTER,falsch
00258,1,1970-01-21,tag,Am Fern- meldeamt,falsch
00703,1,2005-01-11,tag,Am Fichtenbusch,falsch
00251,1,1968-11-21,tag,Am Fliegenbusch,falsch
00077,1,1868-01-17,tag,Am Freistein,falsch
00077,2,1892-03-29,tag,Feldstraße,falsch
00077,3,1933-05-08,tag,Am Freistein (Verl.),falsch
00260,1,1911-07-16,tag,Am Fröhlinge,falsch
00247,1,1961-12-13,tag,Am Funkturm,falsch
00079,1,1914-10-09,tag,Am Gehölz,falsch
00080,1,1922-07-02,tag,Am Gellenberg,falsch
00170,1,1966-12-14,tag,Am Gemeindebusch,falsch
00182,1,1966-07-20,tag,Am Gerichtshaus,falsch
00081,1,1903-02-04,tag,Glockenbergstraße,falsch
00081,2,1903-02-04,tag,Kurzestraße,falsch
00081,3,1903-02-04,tag,Steinstraße,falsch
00081,4,1903-02-04,tag,Stiftsstraße,falsch
00081,5,1910-09-16,tag,Am Glockenberg,falsch
00081,6,1928-02-27,tag,Am Glockenberg (Verl),falsch
00082,1,1955-03-31,tag,Am Glockenspiel,falsch
00963,1,2009-12-01,tag,Am Grugapark,falsch
00083,1,1954-02-23,tag,Am Gutshof,falsch
00084,1,1927-06-30,tag,Am Hagenbusch,falsch
03603,1,1937,jahr,Dietrich-Eckart-Siedlung,falsch
03603,2,1945-03-03,tag,Icktener Siedlung (t!w.),falsch
03603,3,1952-09-05,tag,Am Hammershöfchen,falsch
00085,1,1868-01-17,tag,Bachstraße,falsch
00085,2,1913-05-30,tag,Am Handelshof,falsch
00085,3,1978-04-07,tag,Am Handelshof (Verl),falsch
02537,1,1993-11-18,tag,Am Handwerkerpark,falsch
00086,1,1964-02-25,tag,Am Hang,falsch
00087,1,1913-05-30,tag,Am Hauptbahnhof,falsch
00088,1,1955-09-21,tag,Am Haus Stein,falsch
03604,1,1952-10-21,tag,Am Hausberg,falsch
00089,1,1958-07-02,tag,Am Heimbusch,falsch
00090,1,1950-03-15,tag,Am Heissiwald,falsch
00091,1,1912,jahr,Sonnenstraße {tlw.),falsch
00091,2,1939-05-26,tag,Am Herrenbusch,falsch
00092,1,1914-05-10,tag,Am Hinsberg,falsch
03605,1,1936,jahr,Am Hofacker,falsch
03605,2,1958-02-25,tag,Am Hofacker (Verl.),falsch
00093,1,1922-06-02,tag,Am hohen Kreuz,falsch
00093,2,1957-07-15,tag,Am Hohen Kreuz,falsch
00699,1,2004-04-20,tag,Am Isinger Bach,falsch
00095,1,1959-12-11,tag,Am Jungborn,falsch
00096,1,,unbekannt,Bergstraße,wahr
00096,2,1929-07-12,tag,Am Kalverkämpchen,falsch
00097,1,1950-07-05,tag,Am Kampenbusch,falsch
03606,1,1950-12-11,tag,Am Kattenturm,falsch
01885,1,2013-08-30,tag,Am Kettwiger Ruhrbogen,falsch
00262,1,1961-12-18,tag,Am Kieskamp,falsch
00263,1,1911-06-16,tag,Am Kirchhof,falsch
01619,1,2003-12-23,tag,Am Knottenberg,falsch
00098,1,1954-10-18,tag,Am Kohlenkämpchen,falsch
00099,1,,unbekannt,Florastraße,wahr
00099,2,1937-11-20,tag,Tiergarten (tlw.),falsch
00099,3,1950-03-15,tag,Am Korintenberg,falsch
00100,1,1956-07-03,tag,Am Kornkamp,falsch
00101,1,1922-06-02,tag,Am Korstick,falsch
00264,1,1911-06-16,tag,Am Krählinge,falsch
00102,1,,unbekannt,Josefstraße,wahr
00102,2,1903-02-04,tag,Hovescheidtstraße ftlw.),falsch
00102,3,1910-09-16,tag,Am krausen Bäumchen (Verl),falsch
00102,4,1957-07-15,tag,Am Krausen Bäumchen,falsch
00103,1,1896-02-13,tag,Georgstraße,falsch
00103,2,1915-07-09,tag,Am Kreuz,falsch
00208,1,1896-10-08,tag,Rohrstraße,falsch
00208,2,1915-07-09,tag,Bedingrader Straße (tiw.),falsch
00208,3,1967-05-03,tag,Am Kreyenkrop,falsch
00104,1,1956-02-22,tag,Am Kringel,falsch
00105,1,,unbekannt,Baumstraße,wahr
00105,2,1937-11-20,tag,Am Krusen,falsch
00822,1,2006-08-15,tag,Am Kunstschacht,falsch
00239,1,1961-06-28,tag,Am Kunstwerk,falsch
00106,1,1927-06-30,tag,Am Langensiepen,falsch
00107,1,1920-08-04,tag,Lilienstraße,falsch
00107,2,1946-05-22,tag,Am Lehmberg,falsch
01130,1,1996-10-29,tag,Am Lichtbogen,falsch
02527,1,1991-02-21,tag,Am Lindenbruch,falsch
00108,1,,unbekannt,Hippenstraße,wahr
00108,2,1922-06-02,tag,Peterstraße,falsch
00108,3,1937-11-20,tag,Am Lünink,falsch
00241,1,1976-05-19,tag,Am Luftschacht,falsch
00109,1,1954-07-15,tag,Am Markuskreuz,falsch
02513,1,1988-09-13,tag,Am Mechtenberg,falsch
03607,1,1950-12-11,tag,Am Möhlenkamp,falsch
00110,1,1953-03-03,tag,Am Mörgeken,falsch
00111,1,1902-05-15,tag,Am Mühlenbach,falsch
03608,1,1875,vor,Ruhrstraße (tlw.),falsch
03608,2,1971-10-19,tag,Am Mühlengraben,falsch
03609,1,1930-01-28,tag,Am Muhrenberg,falsch
00113,1,1940-01-12,tag,Am Nachtigallental,falsch
00209,1,1898-03-11,tag,Metzer Straße (tiw.),falsch
00209,2,1967-06-29,tag,Am Ostpark,falsch
00114,1,1897-11-29,tag,Luegstraße (tlw.),falsch
00114,2,1936-01-15,tag,Am Parkfriedhof,falsch
00526,1,1978-09-19,tag,Am Porscheplatz,falsch
00115,1,1938-10-21,tag,Am Pothstück,falsch
00698,1,2003-07-08,tag,Am Pumpwerk,falsch
02510,1,1988-06-24,tag,Am Reiterhof,falsch
00116,1,1922-06-02,tag,Am Richrath,falsch
00238,1,1901-12-13,tag,Frohnhauser Straße (tIw.),falsch
00238,2,1963-09-04,tag,Am Richtenberg,falsch
00574,1,,unbekannt,Schultepäskenstraße,wahr
00574,2,1902-05-16,tag,Riehlstraße (tlw),falsch
00574,3,1981-07-10,tag,Am Riehlpark,falsch
00117,1,1959-09-08,tag,Am Ringofen,falsch
00246,1,1964-05-20,tag,Am Roten Haus,falsch
00246,2,1970-09-23,tag,Am Roten Haus (Verl) Name einer Flur,falsch
00248,1,1962-04-25,tag,Am Rüttenscheider Stern,falsch
00118,1,1936,vor,Am Ruhmbach (Rumbach),falsch
00119,1,1898,vor,Ruhrsteinstraße,falsch
00119,2,1915-07-09,tag,Am Ruhrstein,falsch
00120,1,1927,jahr,Am Ruhrufer,falsch
00121,1,1929-07-12,tag,Am Rundblick,falsch
03270,1,1984-06-12,tag,Am Schacht Hubert,falsch
00123,1,1933-08-14,tag,Am Scheidtbusch,falsch
00124,1,1896-02-13,tag,Bogenstraße,falsch
00124,2,1915-07-09,tag,Am Schlagbaum,falsch
00125,1,1957-01-23,tag,Am Schlangenberg,falsch
00126,1,1922-06-02,tag,Am Schmalscheid,falsch
00127,1,1955-03-31,tag,Am Schroer,falsch
01138,1,1997-09-16,tag,Am Schroerkotten,falsch
00128,1,1928-10-30,tag,Am Schultenhof,falsch
00129,1,1922-06-02,tag,Am Schwarzen,falsch
03565,1,1976-12-07,tag,Am Seeblick,falsch
01872,1,2012-07-17,tag,Am Seebogen,falsch
03559,1,1973-12-18,tag,Am Siepenhang,falsch
00266,1,1951-11-13,tag,Am Sonnenschein,falsch
00266,2,1978-10-03,tag,Am Sonnenhang,falsch
03732,1,1970-10-06,tag,Industriestraße,falsch
03732,2,1972-05-03,tag,Ohmstraße,falsch
03732,3,1978-04-07,tag,Am Stadtbad,falsch
00249,1,1966-12-14,tag,Am Stadthafen,falsch
03611,1,1926,jahr,Am Stadtwald,falsch
03612,1,1953-10-19,tag,Am Stammensberg,falsch
00267,1,1968-12-30,tag,Am Stern,falsch
00132,1,1904-02-04,tag,Turmstraße,falsch
00132,2,1910-10-16,tag,Am Stift,falsch
01615,1,2002-12-31,tag,Am Stoppenberger Bach,falsch
00259,1,1974-09-18,tag,Am Streifen,falsch
00133,1,1922-06-02,tag,Am Strötgen,falsch
00134,1,1927-12-01,tag,Eckbertstraße (tiw.),falsch
00134,2,1950-07-05,tag,Am Tann,falsch
00134,3,1950-07-05,tag,Am Hochbassin,falsch
00134,4,1951-03-05,tag,Am Tann (Verl.),falsch
01149,1,1999-05-18,tag,Am Technologiepark,falsch
00135,1,1959-12-11,tag,Am Teichstück,falsch
00217,1,1961-02-22,tag,Am Rheinstahlhaus,falsch
00136,1,1953-10-13,tag,Am Treppchen,falsch
00137,1,1922-06-02,tag,Am Turm,falsch
00138,1,1953-03-03,tag,Am U-Bogen,falsch
00255,1,1910-09-16,tag,Wittekindstraße (tiw.),falsch
00255,2,1969-04-15,tag,Am Uhlenkrug,falsch
00261,1,1951-11-13,tag,Dinnendahlweg,falsch
00261,2,1970-12-16,tag,Am Vattersberg,falsch
00257,1,1969-10-22,tag,Am Vierkotten,falsch
00139,1,1929-07-29,tag,Am Vogelherd,falsch
00140,1,1922-06-02,tag,Am Volkswald,falsch
00240,1,1963-06-25,tag,Am Wäldchen,falsch
00141,1,1866-04-06,tag,Hochstraße,falsch
00141,2,1937-02-25,tag,Am Waldthausenpark,falsch
00141,3,1958-07-02,tag,Am Waldthausenpark (Vert.),falsch
00268,1,1953-06-05,tag,Am Wasserturm,falsch
00143,1,1924-02-05,tag,Am Werthschemm,falsch
00144,1,1913-05-30,tag,Am Westbahnhof,falsch
03615,1,1950-02-11,tag,Am Wetzelsberg,falsch
00145,1,1951-07-04,tag,Am Weusthof,falsch
03552,1,1914-10-09,tag,Am Hang,falsch
03552,2,1970-12-16,tag,Am Wiedenfeld,falsch
01544,1,2000-05-09,tag,Am Wieselbach,falsch
00146,1,1907-08-06,tag,Wiesenstraße,falsch
00146,2,1915-07-09,tag,Am Wiesental,falsch
03689,1,1939,jahr,Im Siepen,falsch
03689,2,1978-04-07,tag,Am Wildbach,falsch
00147,1,1956-02-22,tag,Am Wittkop,falsch
00244,1,1964-05-20,tag,Am Wolfshof,falsch
01888,1,2013-08-30,tag,Am Wollboden,falsch
00148,1,1959-09-08,tag,Am Wünnesberg,falsch
01540,1,1999-08-03,tag,Am Wunschbrunnen,falsch
00149,1,1897-11-29,tag,Wisthoffstraße,falsch
00149,2,1933-05-08,tag,Am Zehnthof,falsch
00149,3,,unbekannt,Eickenscheidterstraße,wahr
00149,4,1937-11-20,tag,Am Zehnthof (Verl),falsch
03272,1,1985-02-26,tag,Am Ziegelteich,falsch
00094,1,1896,jahr,Amixstraße,falsch
00130,1,1903-02-04,tag,Kuhstraße,falsch
00130,2,1910-09-16,tag,Amselstraße,falsch
00265,1,1966-12-12,tag,Amselweg,falsch
00150,1,1926,jahr,An den Friedhöfen,falsch
00254,1,1969-03-19,tag,An den Quellen,falsch
00151,1,1922-06-02,tag,An der Altenburg,falsch
00152,1,1909-11-26,tag,Bonner Straße,falsch
00152,2,1929-07-24,tag,An der Apostelkirche,falsch
00153,1,1939-05-26,tag,An der Bergbrücke,falsch
03558,1,1973-11-20,tag,An der Bergkuhle,falsch
00154,1,1922-06-02,tag,An der Bläufabrik,falsch
01552,1,1999-12-14,tag,An der Blumenwiese,falsch
00155,1,1929-07-29,tag,An der Braut,falsch
03564,1,1953-07-31,tag,Aufm Rolland {tlw.),falsch
03564,2,1976-09-15,tag,An der Düsterbeck,falsch
00156,1,1950-07-05,tag,An der Fliehburg,falsch
00250,1,1966-12-14,tag,An der Hütung,falsch
00157,1,1909-01-07,tag,An der Kluse,falsch
00158,1,1922-06-02,tag,An der Kuhl,falsch
03554,1,1971-03-17,tag,An der Lanterbeck,falsch
00159,1,1909-01-07,tag,An der Meisenburg,falsch
03616,1,1946-04-04,tag,Schmachtenbergstraße (tlw.),falsch
03616,2,1950-10-03,tag,An der Nittlau,falsch
03617,1,1909-01-07,tag,An der Pierburg (Essen),falsch
03617,2,1950-12-01,tag,An der Pierburg (Kettwig),falsch
00161,1,1887-06-10,tag,Neustraße,falsch
00161,2,1915-07-09,tag,An der Reichsbank,falsch
00242,1,1962-04-25,tag,An der Schlaghecke,falsch
03560,1,1916-02-18,tag,Schacht-Kronprinz-Straße (tiw.),falsch
01559,1,2000-10-17,tag,An der Seilbahn,falsch
03625,1,1904,vor,Kaiser-Wilhelm-Platz und 21. Dezember 1899: Thalstraße,falsch
02605,1,1898-05-10,tag,Ringstraße,falsch
02605,2,1978-04-07,tag,An der Stadtmauer,falsch
00163,1,1915-07-09,tag,An der Walkmühle,falsch
00256,1,1966-12-14,tag,An der Wickenburg,falsch
00269,1,1911-06-16,tag,An der Windmühle,falsch
00269,2,1953-06-05,tag,An der Windmühle (Verl.),falsch
03563,1,1976-06-23,tag,An der Zeche Heinrich,falsch
00165,1,1949-08-31,tag,An der Ziegelei,falsch
00167,1,1953-03-03,tag,An Lindemanns Kreuz,falsch
01137,1,1997-09-16,tag,An Römerskotten,falsch
00171,1,1956-04-09,tag,An St. Albertus Magnus,falsch
00172,1,1936-08-05,tag,An St. Hedwig,falsch
00173,1,1898-03-11,tag,Freiligrathstraße,falsch
00173,2,1946-05-22,tag,An St. Ignatius,falsch
00174,1,1956-02-23,tag,An St. Immakulata,falsch
00175,1,1868-01-17,tag,Niederstraße (tlw.),falsch
00175,2,1958-07-02,tag,An St. Marien,falsch
00176,1,1923-09-24,tag,An St. Quintin,falsch
00177,1,1930-05-31,tag,An St. Stephan,falsch
00178,1,1953-10-13,tag,An St. Thomas,falsch
03562,1,1975-12-16,tag,Anemonenweg,falsch
03551,1,1897-09-16,tag,Laurastraße,falsch
03551,2,1970-12-16,tag,Angelikastraße,falsch
00166,1,1914-10-09,tag,Angerstraße,falsch
00168,1,1930,jahr,Anna-Linder-Weg,falsch
00169,1,1897-11-06,tag,Annastraße,falsch
00179,1,1900-11-06,tag,Schulstraße,falsch
00179,2,1937-11-20,tag,Anstockstraße,falsch
00180,1,1919-05-28,tag,Antonienallee,falsch
00245,1,1963-09-04,tag,Antoniushang,falsch
00181,1,1897-01-22,tag,Antoniusstraße,falsch
00183,1,1905,jahr,Antropstraße,falsch
02504,1,1987-12-09,tag,Antwerpenweg,falsch
00184,1,,unbekannt,Stolzestraße,wahr
00184,2,1902-05-16,tag,Archenholzstraße,falsch
00185,1,1896-08-14,tag,Bonnstraße,falsch
00185,2,1915-07-09,tag,Ardelhütte,falsch
00186,1,1903-02-04,tag,Marktplatz,falsch
00186,2,1910-09-16,tag,Ardeyplatz,falsch
00187,1,1903-02-04,tag,Schellenbergstraße (tiw.),falsch
00187,2,1910-09-16,tag,Unterstraße,falsch
00187,3,1915-07-09,tag,Ardeystraße,falsch
00188,1,1903,vor,Bottroper Straße,falsch
00188,2,1934-01-12,tag,Arenbergstraße,falsch
03555,1,1971-04-21,tag,Arendahls Hang,falsch
00189,1,1892-03-29,tag,Lohstraße (tiw.),falsch
00189,2,1937-11-20,tag,Arendahls Wiese,falsch
00189,3,1937-09-20,tag,Katern-berger Straße,falsch
00189,4,1963-12-17,tag,Arendahls Wiese (Verl.),falsch
00190,1,1923-03-26,tag,Freiheitstraße,falsch
00190,2,1934-06-05,tag,Arminiusgarten,falsch
00191,1,1897-01-22,tag,Armstraße,falsch
03618,1,,unbekannt,Gartenstraße,wahr
03618,2,1930-10-07,tag,Arndtstraße,falsch
00193,1,1927-12-01,tag,Arnoldstraße,falsch
02509,1,1988-06-14,tag,Aronweg,falsch
00194,1,,unbekannt,Asbachtalweg,wahr
00194,2,1937-11-20,tag,Asbachtal,falsch
00195,1,1924-09-17,tag,Milendonkweg (tlw.),falsch
00195,2,1938-10-21,tag,Asbeckstraße,falsch
00195,3,1972-05-17,tag,Asbeckstraße (Verl.),falsch
00196,1,1938-10-21,tag,Ascherfeldweg,falsch
00197,1,1954-02-23,tag,Aseyweg,falsch
00198,1,1939-05-26,tag,Askaristraße,falsch
02522,1,1990-04-24,tag,Assmannweg,falsch
00199,1,1957-01-23,tag,Asthöwerstraße,falsch
03619,1,1963-04-05,tag,Auer Höhe,falsch
00200,1,1920-11-30,tag,Auf dem Bretzberg,falsch
00202,1,1896-08-14,tag,Freistraße,falsch
00202,2,1915-07-09,tag,Auf dem Eichholz,falsch
03620,1,1956-10-11,tag,Auf dem Eigen,falsch
02520,1,1990-01-26,tag,Auf dem Erdwinkel,falsch
00203,1,1949-12-22,tag,Auf dem Felde,falsch
00204,1,1929-07-06,tag,Auf dem Holleter,falsch
00205,1,1910-06-27,tag,Auf dem Kolfen,falsch
03550,1,1911-06-16,tag,Auf dem Loh,falsch
03550,2,1958,jahr,Schulstraße,falsch
03550,3,1978-10-03,tag,Auf dem Loh (Ver!.),falsch
00206,1,1922-07-14,tag,Auf dem Stapel,falsch
00207,1,1915-07-06,tag,Barkhofenstraße,falsch
00207,2,1934-06-28,tag,Barkhovenstraße,falsch
00207,3,1957-07-15,tag,Auf dem Sutan,falsch
00210,1,1921-08-01,tag,Auf der Bredde,falsch
00211,1,1957-07-15,tag,Auf der Bucht,falsch
00212,1,1953-03-03,tag,Auf der Burg,falsch
00213,1,1950-03-15,tag,Auf der Delle,falsch
00214,1,1868-01-17,tag,Auf der Donau,falsch
03621,1,1908-06-11,tag,Auf der Forst,falsch
00215,1,1959-12-11,tag,Auf der Fuchskaul,falsch
00201,1,1970-06-24,tag,Auf der Gathe,falsch
00216,1,1956-07-03,tag,Auf der Gehre,falsch
00824,1,2006-09-12,tag,Auf der Heide,falsch
00218,1,1955-09-21,tag,Auf der Höhe,falsch
00219,1,1959-09-08,tag,Auf der Horst,falsch
00220,1,1958-07-02,tag,Auf der Knappe,falsch
00221,1,1897-11-29,tag,Terbovenstraße,falsch
00221,2,1946-05-22,tag,Auf der Litten,falsch
00222,1,1892-03-29,tag,Rotthausener Straße,falsch
00222,2,1896-10-27,tag,Sevenarstraße,falsch
00222,3,1896-10-27,tag,Auf der Reihe,falsch
00222,4,1936-01-15,tag,Auf der Reihe (Verl.),falsch
03622,1,1934,jahr,Auf der Rötsch,falsch
